itemCode,prodOrder,projectCode,customer,description,status
C1T2D37A091100,PD2603113,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-59 เพลาสเตอร์ ปรับ,Completed
SO2600001,PD2603113,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-59 เพลาสเตอร์ ปรับ,Completed
C1T2D37A091200,PD2603114,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-60 สเตอร์ตัวปรับ,Completed
SO2600001,PD2603114,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-60 สเตอร์ตัวปรับ,Completed
C1T2D37A114100,PD2603115,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-44-1 ฐานรองขา,Completed
SO2600001,PD2603115,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-44-1 ฐานรองขา,Completed
C1T2D37A134100,PD2603116,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-11 Support สเตอร์,Completed
SO2600001,PD2603116,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-11 Support สเตอร์,Completed
C1T2D37A134200,PD2603117,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-12 Support เพลาขับ,Completed
SO2600001,PD2603117,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-12 Support เพลาขับ,Completed
SO2600001,PD2603118,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-13 Support เพลาขับ 2,Completed
C1T2D37A134300,PD2603118,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-13 Support เพลาขับ 2,Completed
C1T2D37A134400,PD2603119,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-14 เพลทรองคานฟีด,Completed
SO2600001,PD2603119,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-14 เพลทรองคานฟีด,Completed
SO2600001,PD2603120,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-17 เพลท 1,Completed
C1T2D37A134500,PD2603120,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-17 เพลท 1,Completed
C1T2D37A134600,PD2603121,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-19 Support Motor Plate 3,Completed
SO2600001,PD2603121,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,03-19 Support Motor Plate 3,Completed
C1T2D37A134E00,PD2603122,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-37 Support สเตอร์,Completed
SO2600001,PD2603122,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-37 Support สเตอร์,Completed
SO2600001,PD2603123,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-40 แผ่นต่อกลางคานฟีต L190,Completed
C1T2D37A134700,PD2603123,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-40 แผ่นต่อกลางคานฟีต L190,Completed
C1T2D37A134800,PD2603124,SO2600001,ASRS Line5 add-on Conveyor& SR- เอสดีกัทธรี มรกต,08-41 แป๊ปต่อกลางคานฟีต,Completed
